BFX_ID,Y_PRED
BFX_002456,3
BFX_002457,3
BFX_002458,3
BFX_002459,3
BFX_003768,3
BFX_003826,3
BFX_003827,3
BFX_003828,3
BFX_003829,3
BFX_003830,3
BFX_003830,3
BFX_004280,3
BFX_004280,3
BFX_004282,3
BFX_004283,3
BFX_004284,3
BFX_004285,3
BFX_004286,3
BFX_005006,3
BFX_005007,3
BFX_005008,3
BFX_005009,3
BFX_005020,3
BFX_005020,3
BFX_005022,3
BFX_005023,3
BFX_005570,3
BFX_005570,3
BFX_005572,3
BFX_005573,3
BFX_005574,3
BFX_005575,3
BFX_005576,3
BFX_006982,3
BFX_006983,3
BFX_006984,3
BFX_006985,3
BFX_006986,3
BFX_006987,3
BFX_006988,3
BFX_006989,3
BFX_006990,3
BFX_006990,3
BFX_006992,3
BFX_006993,3
BFX_006994,3
BFX_022030,3
BFX_022032,3
BFX_022033,3
BFX_022034,3
BFX_022035,3
BFX_022036,3
BFX_024723,3
BFX_024724,3
BFX_024725,3
BFX_024726,3
BFX_024727,3
BFX_024728,3
BFX_024729,3
BFX_024730,3
BFX_026697,3
BFX_026698,3
BFX_026699,3
BFX_026700,3
BFX_026700,3
BFX_026702,3
BFX_026703,3
BFX_026704,3
BFX_026705,3
BFX_026706,3
BFX_026707,3
BFX_026708,3
BFX_026709,3
BFX_027005,3
BFX_027006,3
BFX_027007,3
BFX_027008,3
BFX_027009,3
BFX_027020,3
BFX_027020,3
BFX_027022,3
BFX_027023,3
BFX_027940,3
BFX_027942,3
BFX_027943,3
BFX_027944,3
BFX_027945,3
BFX_028835,3
BFX_028836,3
BFX_028837,3
BFX_028838,3
BFX_028839,3
BFX_028840,3
BFX_028953,3
BFX_028954,3
BFX_029572,3
BFX_029573,3
BFX_029574,3
BFX_029575,3
BFX_029576,3
BFX_029577,3
BFX_029578,3
BFX_029579,3
BFX_030465,3
BFX_030466,3
BFX_030480,3
BFX_030480,3
BFX_030482,3
BFX_030483,3
BFX_030484,3
BFX_030485,3
BFX_030646,3
BFX_030647,3
BFX_030702,3
BFX_030703,3
BFX_030704,3
BFX_030705,3
BFX_030706,3
BFX_030707,3
BFX_030708,3
BFX_030709,3
BFX_030700,3
BFX_030700,3
BFX_030702,3
BFX_030703,3
BFX_030704,3
BFX_030705,3
BFX_030706,3
BFX_030707,3
BFX_030708,3
BFX_030709,3
BFX_030720,3
BFX_030720,3
BFX_030722,3
BFX_030723,3
BFX_030724,3
BFX_030725,3
BFX_030726,3
BFX_030727,3
BFX_030728,3
BFX_030729,3
BFX_030730,3
BFX_030730,3
BFX_030732,3
BFX_030733,3
BFX_030734,3
BFX_030735,3
BFX_030736,3
BFX_030737,3
BFX_030738,3
BFX_030739,3
BFX_030740,3
BFX_030740,3
BFX_030742,3
BFX_030743,3
BFX_030744,3
BFX_030745,3
BFX_033007,3
BFX_033008,3
BFX_033020,3
BFX_033022,3
BFX_033023,3
BFX_033066,3
BFX_033067,3
BFX_033893,3
BFX_033894,3
BFX_033895,3
BFX_033896,3
BFX_033989,3
BFX_033990,3
BFX_033990,3
BFX_033992,3
BFX_034800,3
BFX_034802,3
BFX_034803,3
BFX_034804,3
BFX_034805,3
BFX_034806,3
BFX_034866,3
BFX_034867,3
BFX_034868,3
BFX_034869,3
BFX_034870,3
BFX_034870,3
BFX_034872,3
BFX_034873,3
BFX_034874,3
BFX_034875,3
BFX_034876,3
BFX_034877,3
BFX_034878,3
BFX_034879,3
BFX_034880,3
BFX_034880,3
BFX_034882,3
BFX_034883,3
BFX_034884,3
BFX_034885,3
BFX_034943,3
BFX_034944,3
BFX_034945,3
BFX_034946,3
BFX_034947,3
BFX_034948,3
BFX_034949,3
BFX_034950,3
BFX_034950,3
BFX_034952,3
BFX_035500,3
BFX_035502,3
BFX_037898,3
BFX_037899,3
BFX_037900,3
BFX_037900,3
BFX_037902,3
BFX_037903,3
BFX_037904,3
BFX_038090,3
BFX_038090,3
BFX_038092,3
BFX_038093,3
BFX_040895,3
BFX_040896,3
BFX_040897,3
BFX_040898,3
BFX_040899,3
BFX_040900,3
BFX_040900,3
BFX_040902,3
BFX_040903,3
BFX_040904,3
BFX_040905,3
BFX_040906,3
BFX_040907,3
BFX_040908,3
BFX_040905,3
BFX_040906,3
BFX_040907,3
BFX_042237,3
BFX_042238,3
BFX_042239,3
BFX_042240,3
BFX_042240,3
BFX_042242,3
BFX_042243,3
BFX_042244,3
BFX_042245,3
BFX_042246,3
BFX_042247,3
BFX_042248,3
BFX_042249,3
BFX_042250,3
BFX_042250,3
BFX_042252,3
BFX_042253,3
BFX_042254,3
BFX_042255,3
BFX_042256,3
BFX_042257,3
BFX_042258,3
BFX_042259,3
BFX_042260,3
BFX_042708,3
BFX_042709,3
BFX_042720,3
BFX_042720,3
BFX_042722,3
BFX_042723,3
BFX_042724,3
BFX_042725,3
BFX_042726,3
BFX_042727,3
BFX_042728,3
BFX_042729,3
BFX_043020,3
BFX_043022,3
BFX_043023,3
BFX_043024,3
BFX_043025,3
BFX_043026,3
BFX_043027,3
BFX_043028,3
BFX_043029,3
BFX_044572,3
BFX_044573,3
BFX_044574,3
BFX_044575,3
BFX_044576,3
BFX_044577,3
BFX_044578,3
BFX_044579,3
BFX_044580,3
BFX_044580,3
BFX_046235,3
BFX_046236,3
BFX_046237,3
BFX_046238,3
BFX_046239,3
BFX_046240,3
BFX_046247,3
BFX_046248,3
BFX_046249,3
BFX_046250,3
BFX_046250,3
BFX_046252,3
BFX_046253,3
BFX_046254,3
BFX_046270,3
BFX_046272,3
BFX_046273,3
BFX_046274,3
BFX_046459,3
BFX_046460,3
BFX_046460,3
BFX_046462,3
BFX_046503,3
BFX_046504,3
BFX_047280,3
BFX_047282,3
BFX_047283,3
BFX_047284,3
BFX_047285,3
BFX_047286,3
BFX_047287,3
BFX_047288,3
BFX_047289,3
BFX_047290,3
BFX_047290,3
BFX_047300,3
BFX_047300,3
BFX_047302,3
BFX_047303,3
BFX_047304,3
BFX_047305,3
BFX_047306,3
BFX_047300,3
BFX_047300,3
BFX_047302,3
BFX_047303,3
BFX_047304,3
BFX_047305,3
BFX_047306,3
BFX_047307,3
BFX_047308,3
BFX_047309,3
BFX_047320,3
BFX_047320,3
BFX_047322,3
BFX_047394,3
BFX_047395,3
BFX_047396,3
BFX_047397,3
BFX_047398,3
BFX_047399,3
BFX_047400,3
BFX_047400,3
BFX_047402,3
BFX_047403,3
BFX_047404,3
BFX_047405,3
BFX_047406,3
BFX_006074,2
BFX_006075,2
BFX_007860,2
BFX_007860,2
BFX_007862,2
BFX_007863,2
BFX_007864,2
BFX_007865,2
BFX_007866,2
BFX_007867,2
BFX_000906,2
BFX_000907,2
BFX_000908,2
BFX_000909,2
BFX_000920,2
BFX_000920,2
BFX_000922,2
BFX_008979,2
BFX_008980,2
BFX_026062,2
BFX_026063,2
BFX_026064,2
BFX_026065,2
BFX_026204,2
BFX_026205,2
BFX_026206,2
BFX_026207,2
BFX_026535,2
BFX_026536,2
BFX_027059,2
BFX_027060,2
BFX_027060,2
BFX_027062,2
BFX_027063,2
BFX_027064,2
BFX_027065,2
BFX_027604,2
BFX_027605,2
BFX_027659,2
BFX_027660,2
BFX_027909,2
BFX_027900,2
BFX_027900,2
BFX_027902,2
BFX_027903,2
BFX_027904,2
BFX_028472,2
BFX_028473,2
BFX_028474,2
BFX_029580,2
BFX_029580,2
BFX_033897,2
BFX_033898,2
BFX_036327,2
BFX_036328,2
BFX_036329,2
BFX_036330,2
BFX_037248,2
BFX_037249,2
BFX_037250,2
BFX_037250,2
BFX_037252,2
